;"FromIP";"ToIP";"RTT";"Distance";"CountryFrom";"CountryFromNo";"CountryTo";"CountryToNo";"ConnectionNo"
"91";"129.10.120.194";"128.223.8.111";0.082785234451288;4151.0731;"UnitedStates";13;"UnitedStates";13;1313
"92";"129.10.120.194";"130.83.244.179";0.11971220970156;5915.4402;"UnitedStates";13;"Germany";6;1306
"93";"129.10.120.194";"134.75.238.112";0.19757366180424;11005.8626;"UnitedStates";13;"KoreaRepublicOf";8;1308
"94";"129.10.120.194";"193.55.112.41";0.12279637336728;5538.7981;"UnitedStates";13;"France";5;1305
"95";"129.10.120.194";"198.248.245.102";0.17386569023128;2061.6598;"UnitedStates";13;"UnitedStates";13;1313
"96";"129.10.120.194";"194.29.150.131";0.11885787963856;6560.0104;"UnitedStates";13;"Poland";10;1310
"97";"129.10.120.194";"198.248.246.19";0.16777261734008;2061.6598;"UnitedStates";13;"UnitedStates";13;1313
"98";"129.10.120.194";"198.248.244.101";0.18076292037964;2061.6598;"UnitedStates";13;"UnitedStates";13;1313
"99";"129.10.120.194";"131.246.112.38";0.10652230262768;5875.9075;"UnitedStates";13;"Germany";6;1306
"100";"129.10.120.194";"192.138.213.238";0.022202558517464;2.4584;"UnitedStates";13;"UnitedStates";13;1313
"101";"129.10.120.194";"129.107.35.131";0.045757684707632;2532.3747;"UnitedStates";13;"UnitedStates";13;1313
"102";"129.10.120.194";"141.24.33.162";0.10777621269224;6022.3291;"UnitedStates";13;"Germany";6;1306
"103";"129.10.120.194";"128.112.139.18";0.010792493820188;370.0894;"UnitedStates";13;"UnitedStates";13;1313
"104";"129.10.120.194";"203.178.133.10";0.204818628051045;10828.6816;"UnitedStates";13;"Japan";7;1307
"105";"129.10.120.194";"143.107.111.235";0.17665904045108;7752.76;"UnitedStates";13;"Brazil";2;1302
"106";"129.10.120.194";"200.0.206.202";0.20080491065972;8727.2906;"UnitedStates";13;"Uruguay";14;1314
"107";"129.10.120.194";"198.133.224.149";0.029948616027824;1497.9936;"UnitedStates";13;"UnitedStates";13;1313
"108";"129.10.120.194";"145.99.179.146";0.104337910811125;5553.6823;"UnitedStates";13;"Netherlands";9;1309
"109";"129.10.120.194";"192.43.193.71";0.11269713401792;5954.5411;"UnitedStates";13;"Switzerland";11;1311
"110";"129.10.120.194";"202.249.37.67";0.19650918960564;10828.6816;"UnitedStates";13;"Japan";7;1307
"111";"129.10.120.194";"206.117.37.6";0.08218454360962;4177.0786;"UnitedStates";13;"UnitedStates";13;1313
"112";"129.10.120.194";"202.244.160.251";0.20833423614504;11107.3664;"UnitedStates";13;"Japan";7;1307
"113";"129.10.120.194";"130.49.221.41";0.01785217285156;775.5938;"UnitedStates";13;"UnitedStates";13;1313
"114";"129.10.120.194";"132.239.17.224";0.084207553863528;4149.762;"UnitedStates";13;"UnitedStates";13;1313
"115";"129.10.120.194";"206.12.16.155";0.10190325737;4029.2808;"UnitedStates";13;"Canada";3;1303
"116";"129.10.120.194";"128.8.126.78";0.01543385505676;614.1044;"UnitedStates";13;"UnitedStates";13;1313
"117";"129.10.120.194";"148.81.140.194";0.11901172637944;6560.0104;"UnitedStates";13;"Poland";10;1310
"118";"129.10.120.194";"132.227.62.20";0.112350145975762;5538.7981;"UnitedStates";13;"France";5;1305
"119";"129.10.120.194";"122.1.115.91";0.20607486724848;10828.6816;"UnitedStates";13;"Japan";7;1307
"120";"129.10.120.194";"129.187.143.120";0.1096067905426;6191.1948;"UnitedStates";13;"Germany";6;1306
"121";"129.10.120.194";"128.4.36.46";0.010542955398568;489.1025;"UnitedStates";13;"UnitedStates";13;1313
"122";"129.10.120.194";"130.104.72.201";0.105050871769542;5613.3674;"UnitedStates";13;"Belgium";1;1301
"123";"129.10.120.194";"72.36.112.79";0.027943477630624;1452.5497;"UnitedStates";13;"UnitedStates";13;1313
"124";"129.10.120.194";"129.105.15.38";0.02606260299682;1366.8448;"UnitedStates";13;"UnitedStates";13;1313
"125";"129.10.120.194";"128.208.1.234";0.076590776443472;4000.7419;"UnitedStates";13;"UnitedStates";13;1313
"126";"129.10.120.194";"208.117.131.116";0.05172541618348;2580.8472;"UnitedStates";13;"UnitedStates";13;1313
"127";"129.10.120.194";"129.187.143.60";0.10964198112496;6191.1948;"UnitedStates";13;"Germany";6;1306
"128";"129.10.120.194";"134.76.81.91";0.11535402297972;5921.3028;"UnitedStates";13;"Germany";6;1306
"129";"129.10.120.194";"129.97.74.14";0.03318336486816;779.8482;"UnitedStates";13;"Canada";3;1303
"130";"202.112.28.100";"195.116.60.98";0.56109418869012;6945.5339;"China";4;"Poland";10;410
"131";"202.112.28.100";"155.223.52.3";0.27673699378964;6280.9361;"China";4;"Turkey";12;412
"132";"202.112.28.100";"129.10.120.194";0.33159728050236;10848.1062;"China";4;"UnitedStates";13;413
"133";"202.112.28.100";"139.19.142.3";0.236857662598292;7706.8976;"China";4;"Germany";6;406
"134";"202.112.28.100";"128.223.8.111";0.27748216629032;8955.8252;"China";4;"UnitedStates";13;413
"135";"202.112.28.100";"130.83.244.179";0.43357416152964;7805.0069;"China";4;"Germany";6;406
"136";"202.112.28.100";"134.75.238.112";0.33525040626516;1021.0837;"China";4;"KoreaRepublicOf";8;408
"137";"202.112.28.100";"193.55.112.41";0.29194205284116;8223.2659;"China";4;"France";5;405
"138";"202.112.28.100";"198.248.245.102";0.4321048355102;10677.23;"China";4;"UnitedStates";13;413
"139";"202.112.28.100";"194.29.150.131";0.24045941352836;6945.5339;"China";4;"Poland";10;410
"140";"202.112.28.100";"198.248.246.19";0.4261692905426;10677.23;"China";4;"UnitedStates";13;413
"141";"202.112.28.100";"198.248.244.101";0.43889640808108;10677.23;"China";4;"UnitedStates";13;413
"142";"202.112.28.100";"131.246.112.38";0.23312358856192;7884.8076;"China";4;"Germany";6;406
"143";"202.112.28.100";"192.138.213.238";0.36042432785036;10846.6624;"China";4;"UnitedStates";13;413
"144";"202.112.28.100";"129.107.35.131";0.29495381355284;11232.4384;"China";4;"UnitedStates";13;413
"145";"202.112.28.100";"141.24.33.162";0.23430571556088;7623.2589;"China";4;"Germany";6;406
"146";"202.112.28.100";"128.112.139.18";0.32530922889708;11028.061;"China";4;"UnitedStates";13;413
"147";"202.112.28.100";"203.178.133.10";0.14302433967588;1941.283;"China";4;"Japan";7;407
"148";"202.112.28.100";"143.107.111.235";0.45624756813048;17613.2479;"China";4;"Brazil";2;402
"149";"202.112.28.100";"200.0.206.202";0.51648182868956;19171.0666;"China";4;"Uruguay";14;414
"150";"202.112.28.100";"198.133.224.149";0.29574460983276;10439.7176;"China";4;"UnitedStates";13;413
"151";"202.112.28.100";"145.99.179.146";0.234782665967833;7848.9605;"China";4;"Netherlands";9;409
"152";"202.112.28.100";"192.43.193.71";0.24441272735592;8028.044;"China";4;"Switzerland";11;411
"153";"202.112.28.100";"202.249.37.67";0.13529309272772;1941.283;"China";4;"Japan";7;407
"154";"202.112.28.100";"206.117.37.6";0.3687279129028;10069.8278;"China";4;"UnitedStates";13;413
"155";"202.112.28.100";"202.244.160.251";0.14192634582528;1647.3135;"China";4;"Japan";7;407
"156";"202.112.28.100";"130.49.221.41";0.29821324348452;10937.9283;"China";4;"UnitedStates";13;413
"157";"202.112.28.100";"132.239.17.224";0.25040919303892;10232.4142;"China";4;"UnitedStates";13;413
"158";"202.112.28.100";"206.12.16.155";0.278445186615;8523.1878;"China";4;"Canada";3;403
"159";"202.112.28.100";"128.8.126.78";0.31894382476796;11147.6468;"China";4;"UnitedStates";13;413
"160";"202.112.28.100";"148.81.140.194";0.24051346778876;6945.5339;"China";4;"Poland";10;410
"161";"202.112.28.100";"132.227.62.20";0.23974918365484;8223.2659;"China";4;"France";5;405
"162";"202.112.28.100";"122.1.115.91";0.33820208549492;1941.283;"China";4;"Japan";7;407
"163";"202.112.28.100";"129.187.143.120";0.23621533393848;7745.323;"China";4;"Germany";6;406
"164";"202.112.28.100";"128.4.36.46";0.32500395774848;11104.8469;"China";4;"UnitedStates";13;413
"165";"202.112.28.100";"130.104.72.201";0.242008090019167;7946.6958;"China";4;"Belgium";1;401
"166";"202.112.28.100";"72.36.112.79";0.30241290092476;10784.3946;"China";4;"UnitedStates";13;413
"167";"202.112.28.100";"129.105.15.38";0.2988976573944;10592.7424;"China";4;"UnitedStates";13;413
"168";"202.112.28.100";"128.208.1.234";0.27954185485832;8694.8444;"China";4;"UnitedStates";13;413
"169";"202.112.28.100";"208.117.131.116";0.28181453704824;11603.4881;"China";4;"UnitedStates";13;413
"170";"202.112.28.100";"129.187.143.60";0.23611085891724;7745.323;"China";4;"Germany";6;406
"171";"202.112.28.100";"134.76.81.91";0.2417697048188;7619.1092;"China";4;"Germany";6;406
"172";"202.112.28.100";"129.97.74.14";0.3021662902832;10599.4361;"China";4;"Canada";3;403
"173";"139.19.142.3";"195.116.60.98";0.049874496459968;839.8727;"Germany";6;"Poland";10;610
"174";"139.19.142.3";"155.223.52.3";NA;2949.396;"Germany";6;"Turkey";12;612
"175";"139.19.142.3";"129.10.120.194";0.11514829635624;5886.2672;"Germany";6;"UnitedStates";13;613
"176";"139.19.142.3";"202.112.28.100";0.24137887954708;7706.8976;"Germany";6;"China";4;604
"177";"139.19.142.3";"128.223.8.111";0.20072336196892;8491.5718;"Germany";6;"UnitedStates";13;613
"178";"139.19.142.3";"130.83.244.179";0.038125629425044;128.1579;"Germany";6;"Germany";6;606
"179";"139.19.142.3";"134.75.238.112";0.2936452579498;8552.4263;"Germany";6;"KoreaRepublicOf";8;608
"180";"139.19.142.3";"193.55.112.41";0.064527282714852;533.1975;"Germany";6;"France";5;605
"181";"139.19.142.3";"198.248.245.102";0.28318945884704;7604.7516;"Germany";6;"UnitedStates";13;613
"182";"139.19.142.3";"194.29.150.131";0.052799015045176;839.8727;"Germany";6;"Poland";10;610
"183";"139.19.142.3";"198.248.246.19";0.26546554565432;7604.7516;"Germany";6;"UnitedStates";13;613
"184";"139.19.142.3";"198.248.244.101";0.28664039611816;7604.7516;"Germany";6;"UnitedStates";13;613
"185";"139.19.142.3";"131.246.112.38";0.0063377094268812;194.1504;"Germany";6;"Germany";6;606
"186";"139.19.142.3";"192.138.213.238";0.09666996002198;5883.8117;"Germany";6;"UnitedStates";13;613
"187";"139.19.142.3";"129.107.35.131";0.14392162323;8260.3112;"Germany";6;"UnitedStates";13;613
"188";"139.19.142.3";"141.24.33.162";0.0273666381836;138.1297;"Germany";6;"Germany";6;606
"189";"139.19.142.3";"128.112.139.18";0.10977478027348;6255.5365;"Germany";6;"UnitedStates";13;613
"190";"139.19.142.3";"203.178.133.10";0.30441102027888;9146.1299;"Germany";6;"Japan";7;607
"191";"139.19.142.3";"143.107.111.235";0.26996424674996;9919.6389;"Germany";6;"Brazil";2;602
"192";"139.19.142.3";"200.0.206.202";0.33084200859068;11481.4758;"Germany";6;"Uruguay";14;614
"193";"139.19.142.3";"198.133.224.149";0.12836143493648;6944.6383;"Germany";6;"UnitedStates";13;613
"194";"139.19.142.3";"145.99.179.146";0.0772750377654842;332.9688;"Germany";6;"Netherlands";9;609
"195";"139.19.142.3";"192.43.193.71";0.022688789367672;395.4629;"Germany";6;"Switzerland";11;611
"196";"139.19.142.3";"202.249.37.67";0.30564794540408;9146.1299;"Germany";6;"Japan";7;607
"197";"139.19.142.3";"206.117.37.6";0.1914008235932;9257.6748;"Germany";6;"UnitedStates";13;613
"198";"139.19.142.3";"202.244.160.251";0.35255199432368;9086.3987;"Germany";6;"Japan";7;607
"199";"139.19.142.3";"130.49.221.41";0.11393882751464;6589.01;"Germany";6;"UnitedStates";13;613
"200";"139.19.142.3";"132.239.17.224";0.18500514984128;9318.9398;"Germany";6;"UnitedStates";13;613
"201";"139.19.142.3";"206.12.16.155";0.16955523490904;7987.2424;"Germany";6;"Canada";3;603
"202";"139.19.142.3";"128.8.126.78";0.12908232688904;6499.2095;"Germany";6;"UnitedStates";13;613
"203";"139.19.142.3";"148.81.140.194";0.034335355758672;839.8727;"Germany";6;"Poland";10;610
"204";"139.19.142.3";"132.227.62.20";0.029726848602296;533.1975;"Germany";6;"France";5;605
"205";"139.19.142.3";"122.1.115.91";0.33780117988588;9146.1299;"Germany";6;"Japan";7;607
"206";"139.19.142.3";"129.187.143.120";0.027903575897208;360.8216;"Germany";6;"Germany";6;606
"207";"139.19.142.3";"128.4.36.46";0.10885282516476;6375.2576;"Germany";6;"UnitedStates";13;613
"208";"139.19.142.3";"130.104.72.201";0.0277838508288;301.8546;"Germany";6;"Belgium";1;601
"209";"139.19.142.3";"72.36.112.79";0.1249754619598;7111.1108;"Germany";6;"UnitedStates";13;613
"210";"139.19.142.3";"129.105.15.38";0.13691909790044;6925.3153;"Germany";6;"UnitedStates";13;613
"211";"139.19.142.3";"128.208.1.234";0.19662635803216;8111.4929;"Germany";6;"UnitedStates";13;613
"212";"139.19.142.3";"208.117.131.116";0.160347382227667;8403.5554;"Germany";6;"UnitedStates";13;613
"213";"139.19.142.3";"129.187.143.60";0.015962200164792;360.8216;"Germany";6;"Germany";6;606
"214";"139.19.142.3";"134.76.81.91";0.026519966125492;88.0341;"Germany";6;"Germany";6;606
"215";"139.19.142.3";"129.97.74.14";0.13462149620052;6392.9648;"Germany";6;"Canada";3;603
"216";"128.223.8.111";"195.116.60.98";0.21028504371628;8778.0024;"UnitedStates";13;"Poland";10;1310
"217";"128.223.8.111";"155.223.52.3";NA;10797.5475;"UnitedStates";13;"Turkey";12;1312
"218";"128.223.8.111";"129.10.120.194";0.082755231857292;4151.0731;"UnitedStates";13;"UnitedStates";13;1313
"219";"128.223.8.111";"202.112.28.100";0.27764739036568;8955.8252;"UnitedStates";13;"China";4;1304
"220";"128.223.8.111";"139.19.142.3";0.201304246981917;8491.5718;"UnitedStates";13;"Germany";6;1306
"221";"128.223.8.111";"130.83.244.179";0.18394240379344;8582.8964;"UnitedStates";13;"Germany";6;1306
"222";"128.223.8.111";"134.75.238.112";0.12729371070868;8556.8988;"UnitedStates";13;"KoreaRepublicOf";8;1308
"223";"128.223.8.111";"193.55.112.41";0.22043479919432;8409.1935;"UnitedStates";13;"France";5;1305
