;"X194.29.150.131";"X148.81.140.194";"X130.83.244.179";"X134.76.81.91";"X141.24.33.162";"X132.227.62.20";"X192.43.193.71";"X131.246.112.38";"X129.187.143.120";"X129.187.143.60";"X145.99.179.146";"X130.104.72.201";"X193.55.112.41";"X139.19.142.3";"X155.223.52.3";"X192.138.213.238";"X129.10.120.194";"X128.8.126.78";"X128.4.36.46";"X128.112.139.18";"X129.105.15.38";"X129.97.74.14";"X72.36.112.79";"X130.49.221.41";"X208.117.131.116";"X129.107.35.131";"X198.133.224.149";"X128.208.1.234";"X132.239.17.224";"X206.12.16.155";"X128.223.8.111";"X206.117.37.6";"X143.107.111.235";"X198.248.246.19";"X198.248.245.102";"X198.248.244.101";"X202.249.37.67";"X200.0.206.202";"X203.178.133.10";"X122.1.115.91";"X202.244.160.251";"X202.112.28.100";"X134.75.238.112";"X195.116.60.98"
"X130.104.72.201";0.037097673416128;0.036653747558592;0.01881895065308;0.033244152069096;0.02565586090088;0.030328998565672;0.030506296157844;0.02452373504638;0.027458763122556;0.027499160766604;0.0195484360059042;NA;0.04099850654602;0.0282814304033917;NA;0.115412387847888;0.1043419265748;0.10714080810548;0.10305482864388;0.10348087310796;0.12836638450624;0.1236835670472;0.12969092369088;0.1117469406128;0.16925296783456;0.15179157257076;0.13176022529596;0.18108283042916;0.18216213226316;0.1643423080444;0.2081248760222;0.17968040466308;0.27967090606684;0.2736915111542;0.2803205108642;0.28661207199092;0.29903577804568;0.33055102348328;0.30709424018856;0.29482915878292;0.3341560935974;0.24281047821044;0.30058320999144;0.04658071517944
"X132.227.62.20";0.038851451873788;0.039136610031124;0.022497920989996;0.035497970581048;0.027753324508656;NA;0.01687067985534;0.026498775482176;0.029604921340948;0.029557476043696;0.0274252295494042;0.03019628922145;0.038268785476684;0.0299434264500958;NA;0.090727119445804;0.11221072196964;0.11486241340632;0.11069156646732;0.11096123695372;0.1330729866026;0.13134749412544;0.13452317237844;0.11961076736456;0.15706912040704;0.15386136055;0.13698086738592;0.18428056716916;0.18719320297236;0.17187243461608;0.20999023437508;0.1847009944916;0.26180517196664;0.27572206497188;0.28204362869264;0.28865942001336;0.30041360855096;0.29150496482856;0.30854059219356;0.29583784103392;0.31240736007684;0.23974107742308;0.30557117462164;0.038241577148444
"X139.19.142.3";0.052799015045176;0.034335355758672;0.038125629425044;0.026519966125492;0.0273666381836;0.029726848602296;0.022688789367672;0.0063377094268812;0.027903575897208;0.015962200164792;0.0772750377654842;0.0277838508288;0.064527282714852;NA;NA;0.09666996002198;0.11514829635624;0.12908232688904;0.10885282516476;0.10977478027348;0.13691909790044;0.13462149620052;0.1249754619598;0.11393882751464;0.160347382227667;0.14392162323;0.12836143493648;0.19662635803216;0.18500514984128;0.16955523490904;0.20072336196892;0.1914008235932;0.26996424674996;0.26546554565432;0.28318945884704;0.28664039611816;0.30564794540408;0.33084200859068;0.30441102027888;0.33780117988588;0.35255199432368;0.24137887954708;0.2936452579498;0.049874496459968
"X155.223.52.3";0.065538778305056;0.071716928482052;0.064222803115832;0.065721473693844;0.060690984725952;0.079903059005728;0.063603076934816;0.056521415710448;0.059608993530272;0.059524822235104;0.069096365234372;0.076853322982792;0.11482875823972;0.0983576178550583;NA;0.150664726893056;0.1857866287232;0.16530633926388;0.1485454082488;0.14904787063596;0.16957206726072;0.16956699371344;0.1971996212006;0.17606630325312;0.23863092422492;0.21781930923464;0.16798553466796;0.21482078552244;0.22137308120728;0.21017873764028;0.24016141891472;0.26133107185372;0.33944839477536;0.30579335212716;0.31195831298828;0.31886260032652;0.330697163291652;0.3889378929138;0.37345629692068;0.34548654556272;0.34619256973268;0.27690459251404;0.33551630973816;0.09882645606994
"X193.55.112.41";0.074788179397556;0.049812021255492;0.033336763381948;0.045943479537964;0.064618787765508;0.040906476974488;0.042765531539916;0.05430750846862;0.06532176971436;0.073821249008196;0.0455739001433167;0.0424269967608944;NA;0.0416748623053167;NA;0.2394116687774;0.13776673316944;0.12517469406132;0.12156097412112;0.122214603424;0.1547031116486;0.14224105834964;0.14552109718324;0.13489942550664;0.17773777961736;0.1646469116212;0.17350863456728;0.1946984863282;0.21181819915772;0.19422865867612;0.22058072090144;0.2269516468048;0.288149895875348;0.2866730308532;0.30708334922784;0.31882329940792;0.31065762519844;0.30259023666384;0.33038467407232;0.31770990371704;0.32310227394104;0.27030258178708;0.31612981796268;0.049701919555664
"X192.138.213.238";0.1160822486878;0.11837140083312;0.09751091003418;0.10888993263252;0.17289520263664;0.090532455444332;0.12395587921144;0.094998712539676;0.095196619033812;0.097872476577748;0.0968894163767542;0.0928366084893542;0.10317996025088;0.0956485867500292;NA;NA;0.022402257919304;0.017143745422372;0.01375218391418;0.02504913330078;0.02803575515746;0.024908428192144;0.029894971847532;0.022982501983644;0.056267280578616;0.049451541900624;0.032061996459972;0.095840969085684;0.091901836395264;0.090508317947396;0.091739158630376;0.086575031280516;0.153247843617957;0.17220643043516;0.17864715576172;0.18544415473932;0.29437013626092;0.2124837303162;0.199806410333261;0.20799037933356;0.205840220053917;0.3556002140046;0.45912849426252;0.11629043579104
"X128.4.36.46";0.1170302963256;0.11732775688168;0.098858041763308;0.11355434417716;0.10589602470388;0.11061152458188;0.11118597984312;0.10474792480468;0.10789484024036;0.10785254478452;0.100090056657713;0.102705101172167;0.1207457447052;0.108845402797042;NA;0.013487310409548;0.01046442985534;0.013178768157964;NA;0.0052455425262448;0.033907022476188;0.029667720794672;0.0355361366272;0.016144342422484;0.069834051132212;0.053441781997688;0.0377109336853;0.084140367507932;0.082924242019664;0.10956405639644;0.09077563285828;0.08021953582764;0.17497671127316;0.1754472064972;0.1817386245728;0.1886345005036;0.19493644714356;0.19910920143124;0.20305254936224;0.21951594352732;0.20693766593936;0.32483614921572;0.20235447883612;0.1246853733062
"X128.112.139.18";0.11754283905024;0.11758107185372;0.10103786468504;0.11411711692808;0.10633524894712;0.11060028076172;0.11129226684572;0.10530784606932;0.10835186958312;0.10831496238712;0.113448143005383;0.102864225705458;0.12225261688236;0.109507371982083;NA;0.022457237243656;0.010802602767952;0.0135745716095;0.0047822475433344;NA;0.033963127136228;0.03027379989624;0.03565686225892;0.016498928070064;0.064344215393068;0.053808317184444;0.03812252044678;0.084724073410028;0.083185625076292;0.10976364135736;0.09090722084046;0.083877630233772;0.17523719787592;0.17585824966432;0.18193198204044;0.18881007194508;0.19531500816352;0.1995124912262;0.2033714771272;0.21742091178896;0.22206426620496;0.32509958267208;0.20399944305436;0.12538742065432
"X129.10.120.194";0.11885787963856;0.11901172637944;0.11971220970156;0.11535402297972;0.10777621269224;0.112350145975762;0.11269713401792;0.10652230262768;0.1096067905426;0.10964198112496;0.104337910811125;0.105050871769542;0.12279637336728;0.109791914621917;NA;0.022202558517464;NA;0.01543385505676;0.010542955398568;0.010792493820188;0.02606260299682;0.03318336486816;0.027943477630624;0.01785217285156;0.05172541618348;0.045757684707632;0.029948616027824;0.076590776443472;0.084207553863528;0.10190325737;0.082785234451288;0.08218454360962;0.17665904045108;0.16777261734008;0.17386569023128;0.18076292037964;0.19650918960564;0.20080491065972;0.204818628051045;0.20607486724848;0.20833423614504;0.3315929698944;0.19757366180424;0.1210608673096
"X128.8.126.78";0.11942718505864;0.11953879356392;0.093105630874632;0.11595949172964;0.1083025455474;0.11483934402468;0.11336659431456;0.10712886810292;0.1101941776276;0.1101961612702;0.104042043288542;0.107117255528875;0.12634747505184;0.111929019292292;NA;0.016973905563356;0.014939327239992;NA;0.013173255920416;0.013475179672244;0.022945814132688;0.039655818939204;0.024520130157468;0.01078322410584;NA;0.04244013786316;0.026652545928952;0.073396921157844;0.077431373596192;0.10061176300044;0.098839063644408;0.075975770950316;0.17522099494928;0.16455039024352;0.17067691802976;0.17756327629084;0.1888777542114;0.19830321311952;0.19719337463384;0.18768421173104;0.20085132598876;0.31887914657596;0.19294561386104;0.12197943687444
